GEOID,scenario,mean_tt,min_tt,max_tt,n_30,n_45,n_60
13089020100,bus_rail,14.875,0,44.13333333333333,5,6,6
13089020100,rail_only,NA,NA,NA,0,0,0
13089020200,bus_rail,13.686111111111112,0,52.06666666666667,5,5,6
13089020200,rail_only,NA,NA,NA,0,0,0
13089020300,bus_rail,19.666666666666668,7,58.06666666666667,5,5,6
13089020300,rail_only,7,7,7,2,2,2
13089020400,bus_rail,13.216666666666667,2.15,51.36666666666667,5,5,6
13089020400,rail_only,NA,NA,NA,0,0,0
13089020500,bus_rail,18.822222222222223,5,66.33333333333333,5,5,5
13089020500,rail_only,5,5,5,2,2,2
13089020600,bus_rail,19.488888888888887,7,66.33333333333333,5,5,5
13089020600,rail_only,7,7,7,2,2,2
13089020700,bus_rail,24.475,10,64.6,5,5,5
13089020700,rail_only,10,10,10,2,2,2
13089020801,bus_rail,22.15,10,61.15,5,5,5
13089020801,rail_only,10,10,10,2,2,2
13089020802,bus_rail,35.64722222222222,22.45,82,4,5,5
13089020802,rail_only,NA,NA,NA,0,0,0
13089020901,bus_rail,44.775,14.116666666666667,81.98333333333333,2,3,4
13089020901,rail_only,NA,NA,NA,0,0,0
13089020902,bus_rail,48.26388888888889,21.416666666666668,79.63333333333334,2,3,4
13089020902,rail_only,NA,NA,NA,0,0,0
13089022404,bus_rail,18.488888888888887,0,43.35,5,6,6
13089022404,rail_only,NA,NA,NA,0,0,0
13089022405,bus_rail,22.31388888888889,0,47.233333333333334,5,5,6
13089022405,rail_only,NA,NA,NA,0,0,0
13089980000,bus_rail,36.40555555555555,23.05,82.83333333333333,4,5,5
13089980000,rail_only,NA,NA,NA,0,0,0
13121000100,bus_rail,6.533333333333333,0,15.383333333333333,6,6,6
13121000100,rail_only,NA,NA,NA,0,0,0
13121000201,bus_rail,6.708333333333333,0,17.383333333333333,6,6,6
13121000201,rail_only,NA,NA,NA,0,0,0
13121000202,bus_rail,4.736111111111111,0,12.166666666666666,6,6,6
13121000202,rail_only,NA,NA,NA,0,0,0
13121000400,bus_rail,2.6222222222222222,0,10.733333333333333,6,6,6
13121000400,rail_only,1.25,0,3,4,4,4
13121000501,bus_rail,3.8000000000000003,0,17.8,6,6,6
13121000501,rail_only,1.25,0,3,4,4,4
13121000502,bus_rail,9.602777777777778,0,25.833333333333332,6,6,6
13121000502,rail_only,0,0,0,1,1,1
13121000601,bus_rail,5.680555555555555,0,24.716666666666665,6,6,6
13121000601,rail_only,NA,NA,NA,0,0,0
13121000602,bus_rail,5.6194444444444445,0,24.716666666666665,6,6,6
13121000602,rail_only,2.75,0,5,4,4,4
13121000700,bus_rail,10.830555555555556,0,32.65,5,6,6
13121000700,rail_only,NA,NA,NA,0,0,0
13121001001,bus_rail,2.3194444444444446,0,13,6,6,6
13121001001,rail_only,0.25,0,1,4,4,4
13121001002,bus_rail,4.094444444444445,0,17.8,6,6,6
13121001002,rail_only,0.75,0,2,4,4,4
13121001101,bus_rail,2.433333333333333,0,11.6,6,6,6
13121001101,rail_only,0.75,0,2,4,4,4
13121001102,bus_rail,2.2888888888888888,0,10.733333333333333,6,6,6
13121001102,rail_only,0.75,0,2,4,4,4
13121001203,bus_rail,3.7222222222222223,0,11.6,6,6,6
13121001203,rail_only,0.25,0,1,4,4,4
13121001204,bus_rail,2.0027777777777778,0,10.166666666666666,6,6,6
13121001204,rail_only,0.25,0,1,4,4,4
13121001205,bus_rail,2.613888888888889,0,12.483333333333333,6,6,6
13121001205,rail_only,0.25,0,1,4,4,4
13121001206,bus_rail,2.2527777777777778,0,11.6,6,6,6
13121001206,rail_only,0.25,0,1,4,4,4
13121001301,bus_rail,2.9833333333333334,0,9.1,6,6,6
13121001301,rail_only,0.75,0,2,4,4,4
13121001302,bus_rail,3.083333333333333,0,9.1,6,6,6
13121001302,rail_only,NA,NA,NA,0,0,0
13121001400,bus_rail,3.1555555555555554,0,9.1,6,6,6
13121001400,rail_only,NA,NA,NA,0,0,0
13121001501,bus_rail,3.947222222222222,0,11.6,6,6,6
13121001501,rail_only,NA,NA,NA,0,0,0
13121001502,bus_rail,4.116666666666667,0,9.716666666666667,6,6,6
13121001502,rail_only,NA,NA,NA,0,0,0
13121001600,bus_rail,4.322222222222222,0,14.45,6,6,6
13121001600,rail_only,NA,NA,NA,0,0,0
13121001701,bus_rail,3.908333333333333,0,11.85,6,6,6
13121001701,rail_only,0.75,0,2,4,4,4
13121001702,bus_rail,3.155555555555556,0,12.5,6,6,6
13121001702,rail_only,NA,NA,NA,0,0,0
13121001801,bus_rail,3.8666666666666663,0,11.6,6,6,6
13121001801,rail_only,0,0,0,4,4,4
13121001802,bus_rail,4.8277777777777775,0,16.083333333333332,6,6,6
13121001802,rail_only,0,0,0,4,4,4
13121001901,bus_rail,5.886111111111111,0,17.8,6,6,6
13121001901,rail_only,0,0,0,4,4,4
13121001902,bus_rail,5.1611111111111105,0,17.083333333333332,6,6,6
13121001902,rail_only,0,0,0,4,4,4
13121002100,bus_rail,7.1416666666666675,0,23.616666666666667,6,6,6
13121002100,rail_only,0,0,0,4,4,4
13121002300,bus_rail,13.252777777777776,0,51.56666666666667,5,5,6
13121002300,rail_only,NA,NA,NA,0,0,0
13121002400,bus_rail,22.575,1,70.6,4,5,5
13121002400,rail_only,1.5,1,2,2,2,2
13121002500,bus_rail,12.402777777777779,0,51.56666666666667,5,5,6
13121002500,rail_only,0,0,0,2,2,2
13121002600,bus_rail,12.4,0,51.56666666666667,5,5,6
13121002600,rail_only,1,0,3,4,4,4
13121002801,bus_rail,5.027777777777778,0,16.683333333333334,6,6,6
13121002801,rail_only,0,0,0,4,4,4
13121002802,bus_rail,5.111111111111112,0,16.783333333333335,6,6,6
13121002802,rail_only,0.5,0,2,4,4,4
13121002900,bus_rail,5.166666666666666,0,15.5,6,6,6
13121002900,rail_only,NA,NA,NA,0,0,0
13121003000,bus_rail,18.822222222222223,5,66.33333333333333,5,5,5
13121003000,rail_only,5,5,5,2,2,2
13121003100,bus_rail,18.822222222222223,5,66.33333333333333,5,5,5
13121003100,rail_only,5,5,5,2,2,2
13121003200,bus_rail,22.51388888888889,5,75.76666666666667,5,5,5
13121003200,rail_only,5,5,5,2,2,2
13121003500,bus_rail,8.627777777777778,0,27.966666666666665,6,6,6
13121003500,rail_only,0.5,0,2,4,4,4
13121003600,bus_rail,13.797222222222222,0,55.11666666666667,5,5,6
13121003600,rail_only,1,0,3,4,4,4
13121003700,bus_rail,22.447222222222223,1,71.05,4,5,5
13121003700,rail_only,1.5,1,2,2,2,2
13121003800,bus_rail,21.030555555555555,1,70.6,4,5,5
13121003800,rail_only,1.5,1,2,2,2,2
13121003900,bus_rail,21.030555555555555,1,70.6,4,5,5
13121003900,rail_only,1.5,1,2,2,2,2
